1,1,1691,381,152,352,1,-1,-1,-1
1,2,1233,467,133,218,1,-1,-1,-1
1,3,108,461,97,297,1,-1,-1,-1
1,4,256,420,101,296,1,-1,-1,-1
1,5,19,469,87,343,1,-1,-1,-1
1,6,1869,376,49,222,1,-1,-1,-1
1,7,1252,509,59,133,1,-1,-1,-1
1,8,0,265,109,381,1,-1,-1,-1
2,1,1691,380,184,365,1,-1,-1,-1
2,2,1269,449,76,213,1,-1,-1,-1
2,3,89,445,103,328,1,-1,-1,-1
2,4,250,469,107,239,1,-1,-1,-1
2,5,10,483,104,377,1,-1,-1,-1
2,6,1874,374,43,205,1,-1,-1,-1
2,8,3,282,96,368,1,-1,-1,-1
3,1,1702,377,180,352,1,-1,-1,-1
3,2,1275,448,74,210,1,-1,-1,-1
3,3,90,470,102,300,1,-1,-1,-1
3,4,256,450,106,261,1,-1,-1,-1
3,5,0,335,125,565,1,-1,-1,-1
3,6,1875,373,43,201,1,-1,-1,-1
3,7,1251,477,50,180,1,-1,-1,-1
4,1,1701,387,163,324,1,-1,-1,-1
4,2,1287,448,77,230,1,-1,-1,-1
4,3,92,473,104,297,1,-1,-1,-1
4,4,254,433,112,287,1,-1,-1,-1
4,5,0,291,123,604,1,-1,-1,-1
4,6,1872,370,45,206,1,-1,-1,-1
5,1,1696,391,158,326,1,-1,-1,-1
5,2,1281,440,85,242,1,-1,-1,-1
5,3,96,476,97,280,1,-1,-1,-1
5,4,261,429,115,291,1,-1,-1,-1
5,5,0,252,125,650,1,-1,-1,-1
5,6,1870,360,47,213,1,-1,-1,-1
6,1,1700,399,154,323,1,-1,-1,-1
6,2,1280,437,88,246,1,-1,-1,-1
6,3,97,478,101,288,1,-1,-1,-1
6,4,254,439,103,269,1,-1,-1,-1
6,5,0,235,128,685,1,-1,-1,-1
6,6,1867,349,50,220,1,-1,-1,-1
7,1,1693,393,166,334,1,-1,-1,-1
7,2,1277,436,89,243,1,-1,-1,-1
7,3,92,478,100,294,1,-1,-1,-1
7,4,259,445,99,261,1,-1,-1,-1
7,5,0,209,139,715,1,-1,-1,-1
7,6,1865,342,53,234,1,-1,-1,-1
8,1,1688,393,169,341,1,-1,-1,-1
8,2,1278,438,87,237,1,-1,-1,-1
8,3,94,469,102,304,1,-1,-1,-1
8,4,264,447,95,253,1,-1,-1,-1
8,5,0,197,144,737,1,-1,-1,-1
8,6,1863,337,55,244,1,-1,-1,-1
9,1,1680,403,151,332,1,-1,-1,-1
9,2,1281,435,91,231,1,-1,-1,-1
9,3,95,461,102,307,1,-1,-1,-1
9,4,267,442,96,266,1,-1,-1,-1
9,5,1,189,152,741,1,-1,-1,-1
9,6,1860,335,57,250,1,-1,-1,-1
10,1,1683,398,155,340,1,-1,-1,-1
10,2,1281,441,89,229,1,-1,-1,-1
10,3,91,437,110,343,1,-1,-1,-1
10,4,271,444,93,270,1,-1,-1,-1
10,5,1,186,158,765,1,-1,-1,-1
10,6,1870,351,48,236,1,-1,-1,-1
11,1,1677,401,142,333,1,-1,-1,-1
11,2,1284,436,89,236,1,-1,-1,-1
11,3,93,427,108,358,1,-1,-1,-1
11,4,269,455,86,258,1,-1,-1,-1
11,5,2,177,159,770,1,-1,-1,-1
11,6,1878,376,41,203,1,-1,-1,-1
12,1,1681,395,148,336,1,-1,-1,-1
12,2,1287,444,87,231,1,-1,-1,-1
12,3,90,419,113,376,1,-1,-1,-1
